cohort,id,task_id,M_P,M_T,M_X,M_F,n_records
human,P019,Huggingface--14,65,0,0,4,243
human,P020,Amazon--32,219,5,0,0,666
human,P020,Apple--29,192,2,0,0,203
human,P020,ArXiv--17,12,0,0,0,194
human,P020,Booking--3,567,31,1,0,1119
human,P020,Coursera--21,563,27,1,0,1087
human,P020,GitHub--35,254,2,0,0,658
human,P020,Google Flights--34,183,2,0,0,334
human,P020,Google Map--35,665,3,0,40,830
human,P020,Google Search--28,593,127,2,0,1206
human,P020,Huggingface--14,44,0,0,4,173
human,P021,Amazon--32,414,5,0,0,1058
human,P021,Apple--29,377,2,0,0,435
human,P021,ArXiv--17,9,0,0,0,81
human,P021,Booking--3,541,31,1,0,1115
human,P021,Coursera--21,469,27,1,0,780
human,P021,GitHub--35,255,2,0,0,693
human,P021,Google Flights--34,164,2,0,0,310
human,P021,Google Map--35,406,3,0,76,565
human,P021,Google Search--28,575,76,2,0,1107
human,P021,Huggingface--14,24,0,1,4,158
human,P022,Amazon--32,450,4,0,0,1057
human,P022,Apple--29,378,3,0,2,545
human,P022,ArXiv--17,17,2,2,0,167
human,P022,Booking--3,901,34,1,4,1962
human,P022,Coursera--21,475,27,1,0,972
human,P022,GitHub--35,125,2,0,0,444
human,P022,Google Flights--34,151,2,0,0,305
human,P022,Google Map--35,1955,4,0,122,2322
human,P022,Google Search--28,488,121,1,0,907
human,P022,Huggingface--14,32,0,0,4,154
Fara-7B,Fara-7B_rep0,Amazon--32,439.0,32,18,3,994
Fara-7B,Fara-7B_rep1,Amazon--32,429.0,29,15,0,1129
Fara-7B,Fara-7B_rep0,Apple--29,290.0,2,2,0,288
Fara-7B,Fara-7B_rep1,Apple--29,292.0,2,2,0,290
Fara-7B,Fara-7B_rep0,ArXiv--17,9.0,4,0,0,68
Fara-7B,Fara-7B_rep1,ArXiv--17,9.0,4,0,0,70
Fara-7B,Fara-7B_rep0,Booking--3,725.0,59,7,4,1295
Fara-7B,Fara-7B_rep1,Booking--3,730.0,56,7,4,1305
Fara-7B,Fara-7B_rep0,Coursera--21,553.0,39,5,0,792
Fara-7B,Fara-7B_rep1,Coursera--21,393.0,38,3,0,581
Fara-7B,Fara-7B_rep0,GitHub--35,151.0,7,2,24,434
Fara-7B,Fara-7B_rep1,GitHub--35,153.0,7,2,24,444
Fara-7B,Fara-7B_rep0,Google Flights--34,114.0,10,0,0,162
Fara-7B,Fara-7B_rep1,Google Flights--34,109.0,10,0,0,157
Fara-7B,Fara-7B_rep0,Google Map--35,398.0,13,1,33,476
Fara-7B,Fara-7B_rep1,Google Map--35,750.0,13,0,87,909
Fara-7B,Fara-7B_rep0,Google Search--28,193.0,26,1,0,400
Fara-7B,Fara-7B_rep1,Google Search--28,728.0,27,1,240,1399
Fara-7B,Fara-7B_rep1,Huggingface--14,33.0,8,2,4,128
Fara-7B,Fara-7B_rep0,Huggingface--14,18.0,8,1,3,99
Browser-Use,Browser-Use_rep0,Amazon--32,397.0,52,9,0,1095
Browser-Use,Browser-Use_rep1,Amazon--32,625.0,52,13,0,1835
Browser-Use,Browser-Use_rep0,Apple--29,315.0,7,2,0,334
Browser-Use,Browser-Use_rep1,Apple--29,219.0,9,4,0,240
Browser-Use,Browser-Use_rep0,ArXiv--17,12.0,8,0,0,77
Browser-Use,Browser-Use_rep1,ArXiv--17,12.0,10,2,0,79
Browser-Use,Browser-Use_rep0,Booking--3,1359.0,51,21,6,2419
Browser-Use,Browser-Use_rep1,Booking--3,1471.0,57,19,6,2444
Browser-Use,Browser-Use_rep0,Coursera--21,162.0,10,0,0,451
Browser-Use,Browser-Use_rep1,Coursera--21,163.0,10,0,0,452
Browser-Use,Browser-Use_rep0,GitHub--35,17.0,6,0,0,164
Browser-Use,Browser-Use_rep1,GitHub--35,16.0,5,0,0,162
Browser-Use,Browser-Use_rep0,Google Flights--34,18.0,13,0,0,70
