agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,Apple--18,C0,1,apple.com,375,47,45,0,0,0,success,40.3,0
browser-use,Apple--19,C0,1,apple.com,254,12,9,0,0,0,success,37.4,0
browser-use,Apple--2,C0,1,apple.com,222,9,6,0,0,0,success,55.5,0
browser-use,Apple--20,C0,1,apple.com,1316,107,107,0,0,0,success,75.1,0
browser-use,Apple--21,C0,1,apple.com,361,10,6,0,0,0,success,27.5,0
browser-use,Apple--22,C0,1,apple.com,160,8,6,0,0,0,success,17.6,0
browser-use,Apple--23,C0,1,apple.com,182,9,6,0,0,0,success,27.6,0
browser-use,Apple--24,C0,1,apple.com,325,10,6,0,0,0,success,35.2,0
browser-use,Apple--25,C0,1,apple.com,165,10,6,0,0,0,success,36.4,0
browser-use,Apple--26,C0,1,apple.com,335,12,8,0,0,0,success,39.1,0
browser-use,Apple--27,C0,1,apple.com,276,12,8,0,0,0,success,29.2,0
browser-use,Apple--28,C0,1,apple.com,265,13,10,0,0,0,success,39.6,0
browser-use,Apple--29,C0,1,apple.com,310,8,5,0,0,0,success,23.7,0
browser-use,Apple--3,C0,1,apple.com,1597,232,229,0,0,0,success,51.5,0
browser-use,Apple--30,C0,1,apple.com,325,14,10,0,0,0,success,36.5,0
browser-use,Apple--31,C0,1,apple.com,184,8,5,0,0,0,success,26.8,0
browser-use,Apple--32,C0,1,apple.com,163,9,6,0,0,0,success,29.7,0
browser-use,Apple--33,C0,1,apple.com,707,17,14,0,0,0,success,37.9,0
browser-use,Apple--34,C0,1,apple.com,223,12,9,0,0,0,success,56.3,0
browser-use,Apple--35,C0,1,apple.com,192,8,5,0,0,0,success,27.2,0
browser-use,Apple--36,C0,1,apple.com,244,15,6,0,0,0,success,38.2,0
browser-use,Apple--37,C0,1,apple.com,709,17,15,0,0,0,success,71.8,0
browser-use,Apple--38,C0,1,apple.com,732,19,16,0,0,0,success,61.5,0
browser-use,Apple--39,C0,1,apple.com,694,22,16,0,0,0,success,50.3,0
browser-use,Apple--4,C0,1,apple.com,290,10,6,0,0,0,success,34.1,0
browser-use,Apple--40,C0,1,apple.com,173,11,9,0,0,0,success,48.3,0
browser-use,Apple--41,C0,1,apple.com,315,15,10,0,0,0,success,45.3,0
browser-use,Apple--42,C0,1,apple.com,275,10,7,0,0,0,success,52.5,0
browser-use,Apple--5,C0,1,apple.com,1020,41,41,0,0,0,success,39.6,0
browser-use,Apple--6,C0,1,apple.com,208,9,6,0,0,0,success,44.1,0
