agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,Allrecipes--23,C2,1,1.0,success,644,644,644,107,107,107,104,104,104,0,0,0,18,18,18,0,0,0,42.9,42.9,42.9
browser-use,Allrecipes--23,C5,1,1.0,success,172,172,172,15,15,15,14,14,14,0,0,0,0,0,0,0,0,0,51.7,51.7,51.7
browser-use,Allrecipes--23,C7,1,1.0,success,1534,1534,1534,134,134,134,131,131,131,0,0,0,55,55,55,0,0,0,46.7,46.7,46.7
browser-use,Allrecipes--23,C8,1,1.0,success,1230,1230,1230,126,126,126,123,123,123,0,0,0,44,44,44,0,0,0,43.1,43.1,43.1
browser-use,Allrecipes--24,C0,1,1.0,success,652,652,652,111,111,111,108,108,108,0,0,0,0,0,0,0,0,0,22.6,22.6,22.6
browser-use,Allrecipes--24,C2,1,1.0,success,683,683,683,115,115,115,112,112,112,0,0,0,20,20,20,0,0,0,22.4,22.4,22.4
browser-use,Allrecipes--24,C5,1,1.0,success,586,586,586,16,16,16,15,15,15,0,0,0,0,0,0,0,0,0,35.4,35.4,35.4
browser-use,Allrecipes--24,C7,1,1.0,success,919,919,919,126,126,126,123,123,123,0,0,0,30,30,30,0,0,0,30.7,30.7,30.7
browser-use,Allrecipes--24,C8,1,1.0,success,701,701,701,112,112,112,109,109,109,0,0,0,25,25,25,0,0,0,18.2,18.2,18.2
browser-use,Allrecipes--25,C0,1,1.0,success,1106,1106,1106,135,135,135,132,132,132,0,0,0,0,0,0,0,0,0,45.9,45.9,45.9
browser-use,Allrecipes--25,C2,1,1.0,success,872,872,872,122,122,122,119,119,119,0,0,0,23,23,23,0,0,0,34.1,34.1,34.1
