agent,task,condition,success_delta_pp,records_delta_pct,unique_hosts_delta_pct,third_party_hosts_delta_pct,rq3_blocks_search_delta_pct,rq3_blocks_offdomain_delta_pct,rq3_blocks_cmp_delta_pct,duration_seconds_delta_pct
fara-7b,ESPN--19,C5,0.0,5.747126436781609,-4.651162790697675,-5.714285714285714,0.0,0.0,0.0,-6.270627062706277
fara-7b,ESPN--19,C7,-100.0,62.356321839080465,60.46511627906976,62.857142857142854,0.0,inf,0.0,92.4092409240924
fara-7b,ESPN--19,C8,-100.0,57.18390804597702,53.48837209302325,54.285714285714285,0.0,inf,0.0,604.9504950495049
fara-7b,ESPN--2,C2,-100.0,-83.12655086848635,-79.27927927927928,-85.0,0.0,inf,0.0,12.579957356076758
fara-7b,ESPN--2,C5,-100.0,146.5260545905707,130.63063063063063,142.0,0.0,0.0,0.0,155.01066098081023
fara-7b,ESPN--2,C7,-100.0,-82.5062034739454,-79.27927927927928,-85.0,0.0,inf,0.0,14.498933901918987
fara-7b,ESPN--2,C8,-100.0,-34.11910669975186,-33.33333333333333,-40.0,0.0,inf,0.0,28.78464818763326
fara-7b,ESPN--20,C2,0.0,-65.16129032258064,-53.76344086021505,-58.536585365853654,0.0,inf,0.0,-10.244648318042817
fara-7b,ESPN--20,C5,0.0,-52.38709677419355,-70.96774193548387,-76.82926829268293,0.0,0.0,0.0,-15.596330275229361
fara-7b,ESPN--20,C7,0.0,-61.54838709677419,-52.68817204301075,-57.3170731707317,0.0,inf,0.0,-12.385321100917443
fara-7b,ESPN--20,C8,0.0,-62.45161290322581,-50.53763440860215,-54.87804878048781,0.0,inf,0.0,-7.1865443425076485
fara-7b,ESPN--21,C2,-100.0,-81.52610441767068,-77.22772277227723,-83.33333333333334,0.0,inf,0.0,25.373134328358198
fara-7b,ESPN--21,C5,-100.0,-10.040160642570282,-2.9702970297029703,-4.444444444444445,0.0,0.0,0.0,92.53731343283582
fara-7b,ESPN--21,C7,-100.0,-80.99062918340026,-77.22772277227723,-83.33333333333334,0.0,inf,0.0,25.373134328358198
fara-7b,ESPN--21,C8,-100.0,-59.17001338688086,-49.504950495049506,-53.333333333333336,0.0,inf,0.0,53.482587064676615
fara-7b,ESPN--22,C2,-100.0,-82.7930174563591,-74.48979591836735,-81.11111111111111,0.0,inf,0.0,-2.85714285714286
fara-7b,ESPN--22,C5,0.0,-38.77805486284289,-56.12244897959183,-61.111111111111114,0.0,0.0,0.0,-41.07142857142857
fara-7b,ESPN--22,C7,-100.0,-83.54114713216958,-76.53061224489795,-83.33333333333334,0.0,inf,0.0,-3.214285714285709
fara-7b,ESPN--22,C8,0.0,-25.935162094763093,-33.6734693877551,-41.11111111111111,0.0,inf,0.0,-21.60714285714286
fara-7b,ESPN--23,C2,-100.0,-19.879518072289155,37.5,45.83333333333333,0.0,inf,0.0,134.30962343096235
fara-7b,ESPN--23,C5,0.0,121.3855421686747,334.375,437.5,0.0,0.0,0.0,44.351464435146454
fara-7b,ESPN--23,C7,-100.0,-34.33734939759036,25.0,33.33333333333333,0.0,inf,0.0,113.80753138075315
fara-7b,ESPN--23,C8,-100.0,-48.493975903614455,15.625,16.666666666666664,0.0,inf,0.0,66.94560669456068
fara-7b,ESPN--24,C2,0.0,-88.37792642140468,-81.95488721804512,-86.66666666666667,0.0,inf,0.0,-45.562770562770574
fara-7b,ESPN--24,C5,100.0,-1.3377926421404682,12.781954887218044,14.166666666666666,0.0,0.0,0.0,-23.484848484848484
fara-7b,ESPN--24,C7,0.0,-88.37792642140468,-81.95488721804512,-86.66666666666667,0.0,inf,0.0,-45.02164502164503
fara-7b,ESPN--24,C8,0.0,-76.67224080267559,-65.41353383458647,-69.16666666666667,0.0,inf,0.0,-35.4978354978355
fara-7b,ESPN--25,C2,-100.0,-71.80527383367141,-47.82608695652174,-57.89473684210527,0.0,inf,0.0,74.48275862068967
fara-7b,ESPN--25,C5,0.0,5.273833671399594,84.78260869565217,102.63157894736842,0.0,0.0,0.0,5.172413793103448
fara-7b,ESPN--25,C7,-100.0,-71.39959432048681,-50.0,-60.526315789473685,0.0,inf,0.0,74.82758620689656
fara-7b,ESPN--25,C8,-100.0,-32.048681541582155,34.78260869565217,23.684210526315788,0.0,inf,0.0,100.3448275862069
fara-7b,ESPN--26,C2,-100.0,-68.04878048780488,-69.23076923076923,-76.11940298507463,0.0,inf,0.0,-18.108974358974354
fara-7b,ESPN--26,C5,-100.0,273.1707317073171,252.56410256410254,291.044776119403,0.0,0.0,0.0,36.53846153846155
fara-7b,ESPN--26,C7,-100.0,-63.90243902439025,-64.1025641025641,-70.1492537313433,0.0,inf,0.0,-7.05128205128205
fara-7b,ESPN--26,C8,-100.0,-38.78048780487805,-38.46153846153847,-40.298507462686565,0.0,inf,0.0,-4.967948717948721
fara-7b,ESPN--27,C2,0.0,-55.03875968992248,-65.85365853658537,-71.05263157894737,0.0,inf,0.0,-7.550335570469799
fara-7b,ESPN--27,C5,0.0,-0.15503875968992248,26.82926829268293,28.947368421052634,0.0,0.0,0.0,16.610738255033556
fara-7b,ESPN--27,C7,0.0,-56.27906976744186,-61.78861788617886,-65.78947368421053,0.0,inf,0.0,-4.865771812080535
fara-7b,ESPN--27,C8,0.0,-62.01550387596899,-62.601626016260155,-67.54385964912281,0.0,inf,0.0,-5.369127516778528
fara-7b,ESPN--28,C2,-100.0,-32.7922077922078,33.33333333333333,45.45454545454545,0.0,inf,0.0,168.91191709844554
fara-7b,ESPN--28,C5,-100.0,529.5454545454546,716.6666666666667,963.6363636363636,0.0,0.0,0.0,318.13471502590676
fara-7b,ESPN--28,C7,-100.0,-32.142857142857146,33.33333333333333,45.45454545454545,0.0,inf,0.0,162.1761658031088
fara-7b,ESPN--28,C8,-100.0,128.24675324675326,120.0,145.45454545454547,0.0,inf,0.0,203.10880829015545
fara-7b,ESPN--29,C2,-100.0,-78.04107424960506,-80.0,-85.58558558558559,0.0,inf,0.0,79.02097902097903
fara-7b,ESPN--29,C5,0.0,65.5608214849921,48.333333333333336,47.74774774774775,0.0,0.0,0.0,52.44755244755245
fara-7b,ESPN--29,C7,-100.0,-77.56714060031595,-80.83333333333333,-86.48648648648648,0.0,inf,0.0,82.16783216783216
fara-7b,ESPN--29,C8,-100.0,-65.40284360189574,-62.5,-66.66666666666666,0.0,inf,0.0,82.86713286713285
fara-7b,ESPN--3,C2,-100.0,-79.0625,-74.15730337078652,-80.76923076923077,0.0,inf,0.0,52.71084337349398
fara-7b,ESPN--3,C5,0.0,14.374999999999998,22.47191011235955,23.076923076923077,0.0,0.0,0.0,-3.9156626506024224
fara-7b,ESPN--3,C7,-100.0,-77.8125,-74.15730337078652,-80.76923076923077,0.0,inf,0.0,51.20481927710843
fara-7b,ESPN--3,C8,0.0,-32.96875,-5.617977528089887,-8.974358974358974,0.0,inf,0.0,54.518072289156606
fara-7b,ESPN--30,C2,0.0,-47.27272727272727,-57.89473684210527,-64.28571428571429,0.0,inf,0.0,-63.00469483568074
fara-7b,ESPN--30,C5,0.0,69.0909090909091,89.47368421052632,101.19047619047619,0.0,0.0,0.0,-12.018779342723002
fara-7b,ESPN--30,C7,0.0,-5.818181818181818,-41.05263157894737,-46.42857142857143,0.0,inf,0.0,-39.906103286384976
fara-7b,ESPN--30,C8,0.0,23.454545454545457,-12.631578947368421,-15.476190476190476,0.0,inf,0.0,-37.93427230046949
fara-7b,ESPN--31,C2,0.0,-94.11506368028107,-92.7927927927928,-95.07692307692308,0.0,inf,0.0,-44.762954796030876
fara-7b,ESPN--31,C5,0.0,39.789196310935445,17.417417417417415,17.846153846153847,0.0,0.0,0.0,6.284454244762958
fara-7b,ESPN--31,C7,0.0,-94.02722880983751,-93.09309309309309,-95.38461538461539,0.0,inf,0.0,-44.762954796030876
fara-7b,ESPN--31,C8,0.0,-90.46991655687307,-86.48648648648648,-88.61538461538461,0.0,inf,0.0,-50.16538037486218
fara-7b,ESPN--32,C2,-100.0,-80.50221565731167,-75.0,-81.0126582278481,0.0,inf,0.0,8.222222222222229
fara-7b,ESPN--32,C5,0.0,49.48301329394387,90.21739130434783,105.0632911392405,0.0,0.0,0.0,-3.555555555555559
fara-7b,ESPN--32,C7,-100.0,-81.0930576070901,-75.0,-81.0126582278481,0.0,inf,0.0,8.666666666666664
fara-7b,ESPN--32,C8,-100.0,38.25701624815362,-2.1739130434782608,-6.329113924050633,0.0,inf,0.0,49.55555555555555
fara-7b,ESPN--33,C2,-100.0,-31.782945736434108,0.0,0.0,0.0,inf,0.0,94.20289855072464
fara-7b,ESPN--33,C5,0.0,85.01291989664082,173.17073170731706,215.15151515151513,0.0,0.0,0.0,-0.36231884057971525
fara-7b,ESPN--33,C7,-100.0,-24.54780361757106,0.0,0.0,0.0,inf,0.0,93.84057971014492
fara-7b,ESPN--33,C8,-100.0,-32.041343669250644,12.195121951219512,12.121212121212121,0.0,inf,0.0,88.76811594202898
fara-7b,ESPN--34,C2,0.0,-72.89586305278173,-66.66666666666666,-70.9090909090909,0.0,inf,0.0,-11.51419558359621
fara-7b,ESPN--34,C5,100.0,10.556348074179743,2.5,1.8181818181818181,0.0,0.0,0.0,-7.41324921135646
